But thou didst not leave,Handel,,,SATB,TRUE,,,Shelf,AUPS1
By the grace of the spirit,Gant,,,SATB,TRUE,,,Cab 2 95,
By the waters of Babylon,Mawsby,,,SATB,TRUE,,,Shelf,AUPS1
Call to remembrance,Farrant,,,SATB,FALSE,,,Shelf,CAB
Call to remembrance,Farrant,,,SATB,FALSE,,,Cab 1 46,
Calmy trust the Lord,How,,,SATB,TRUE,,,Cab 1 58,
Cantate domino,Pitoni,Giuseppe,,SATB,FALSE,,,Shelf,AFC1
Cantate domino,Monteverdi,Claudio,,SSATTB,TRUE,,,Shelf,ESM
Cantate domino,Pitomi,Guissepe,,SATB,FALSE,,,Shelf,KoGKoP
Cantate domino,Dering,Richard,,SATB,FALSE,,,Shelf,Three latin anthems
Cantate domino,Schutz,,,SATB,FALSE,,,Cab 2 47,
Canticle of Praise,Maulkin/Harper,,,Unison,TRUE,,,Shelf,E&EL2017
Cantique de Jean Rancine,Faure,Gabriel,,SATB,TRUE,,,Shelf,ESM
Captains of the saintly bands,Nicholson,Sidney,,SATB,TRUE,,,Shelf,CSB3
Carol of the atonement,Trad,,,SATB,TRUE,,,Shelf,12EA
Cast thy burden upon the Lord,Mendelssohn,,,SATB,TRUE,,,Shelf,CAB
Christ being raised,Cook,,,SATB,TRUE,,,Cab 1 63,
Christ is at thy portals,-,,Woodward GR,SATB,TRUE,,,Cab 2 C56,
Christ is the world's true light,Kendall Stanton,Walter,,V1(2),TRUE,,,Shelf,FA1
Christ the Lord is ris'n again,Shephard,Richard,,S(A)(Men),TRUE,,,Shelf,FA1
Christ the Lord is risen,Rutter,,,SATB,TRUE,,,Shelf,AWTEFC
Christ the Lord is risen again,Rutter,John,,SATB,TRUE,,,Shelf,AC420th
Christ the Lord is risen again,Smith,Alan,,V1(2),TRUE,,,Shelf,EFA
Christ was born,Terry,,,SATB,TRUE,,,Cab 1 41,
Christ whose glory,Knight,Gerald,,SATB,TRUE,,,Shelf,CSB3
Christ whose glory fills the skies,Armstrong,,,SATB,TRUE,,,Shelf,CAB
Christe adoramus te,Monteverdi,,,SATB,FALSE,,,Cab 2 48,
"Christe, adoramus te",Monteverdi,Claudio,,SSATB,TRUE,,,Shelf,ESM
Christians shout for joy and gladness,Bach,Johann,Bullard Alan,S(A)(T)(B),TRUE,,,Shelf,FA1
Christus factus est,Anerio,,,SATB,FALSE,,,Shelf,AWTEFC
Christus factus est,Anerio,Felicio,,SATB,FALSE,,,Shelf,ESM
Christus factus est,Bruckner,Anton,,SATB,FALSE,,,Shelf,ESM
Christus factus est,Bruckner,,,SATB,FALSE,,,Cab 2 49,
Citivatis sacti tui,Byrd,,,SATB,FALSE,,,Shelf,AWTEFC
Come and see the Christ child,Burrell,,,SATB,TRUE,,,Cab 2 C102,
Come and thank him,Bach,,,SATB,TRUE,,,Cab 1 105,
Come down O love divine,Harris,,,SATB,TRUE,,,Shelf,FSB9
"Come down, O love divine",Tadman-Robins,Hilary,,SA(T)(B),TRUE,,,Shelf,FA1
Come holy ghost,Attwood,,,SATB,TRUE,,,Shelf,CAB
Come holy ghost,Attwood,,,SATB,TRUE,,,Shelf,FSB3
Come holy ghost,Attwood,,,SATB,TRUE,,,Cab 1 10,
Come Holy Ghost our souls inspire,Burrell,Diana,,SATB,TRUE,,,Shelf,EAC1
Come let us all this day,Bach,,,SATB,TRUE,,,Shelf,AUPS1
Come lets rejoice,Amner,,,SATB,TRUE,,,Shelf,FSB7
Come Lord Jesus,Tarney,Oliver,,S(A)(Men),TRUE,,,Shelf,EFA
Come my way,Harris,,,SATB,TRUE,,,Shelf,SNCB
Come my way,Tomblings,,,SATB,TRUE,,,Cab 1 67,
Come my way,Baldwin,,,SATB,TRUE,,,Cab 1 67,
Come O creator spirit,Noble,,,SATB,TRUE,,,Shelf,CAB
Come O creator spirit,Noble,,,SATB,TRUE,,,Cab 1 26,
Come oh come our voices raise,Archer,Malcolm,,S(A)(Men),TRUE,,,Shelf,EFA
Come out Lazar,Spicer,Paul,,SATB,TRUE,,,Shelf,EAC1
Come risen Lord,Gibbons,Orlando,,SATB,FALSE,,,Shelf,MFHC
Come thou holy paraclete,Ley,,,SATB,TRUE,,,Shelf,CAB
Come thou holy spirit come,Ley,,,SATB,TRUE,,,Shelf,CAB
Come thou holy spirit come,Mode I melody,,,SATB,FALSE,,,Shelf,TGOL
Come thou holy spirit come,Ley,,,SATB,TRUE,,,Cab 1 97,
Come thou lone expected,Ley,,,SATB,TRUE,,,Cab 1 16,
Come to the manger,Trad,,,SATB,TRUE,,,Cab 2 C101,
Come with us,Bach,,,SATB,TRUE,,,Shelf,MFHC
Come with us,Stainer,,,SATB,TRUE,,,Cab 2 C54,
Come ye faithful,Thatcher,R S,,S(A)(Men),TRUE,,,Shelf,EFA
"Come, Holy Spirit, creator bless",9th Century Office Hymn,,Michael Bedford,S(A)(Men),TRUE,,,Shelf,EFA
Comfort O Lord,Crotch,,,SATB,TRUE,,,Shelf,CAB
Comfort O Lord,Crotch,,,SATB,TRUE,,,Cab 1 66,
Communion service in C,Wills,,,SATB,TRUE,,,Shelf,
Communion service in E flat,White,,,Unison,TRUE,,,Cab 4,
Communion service in F,Harris,,,SATB,TRUE,,,Shelf,
Communion service in F minor,Darke,,,SATB,TRUE,,,Shelf,
Compline,-,,,SATB,TRUE,,,Shelf,
Confitemi,Constantine,,,SATB,FALSE,,,Cab 1 54,
Coventry carol,?,,,SATB,TRUE,,,Cab 1 C24,
Coventry carol,Stainer,,,SATB,TRUE,,,Cab 1 C24,
Coventry mass,-,,Knight Gerald,SATB,TRUE,,,Shelf,MFHC
Creator of the stars of night,Anon,,Scott John,S(A)(Men),TRUE,,,Shelf,FA1
Crown of roses,Tschaikowsky,,,SATB,FALSE,,,Cab 2 C38,
Crucifixus a 8,Lotti,Antonio,,SSAATTBB,TRUE,,,Shelf,ESM
Crux fidelis,John IV of Portugal,,,SATB,FALSE,,,Shelf,AWTEFC
Crux fidelis,John IV of Portugal,,,SATB,FALSE,,,Shelf,ESM
Darkening night the land,Ley,,,SATB,TRUE,,,Shelf,CAB
Daughters of Sion,Mendelssohn,,,SATB,TRUE,,,Shelf,CAB
Day by day,Warren,,,SATB,TRUE,,,Shelf,SWAMS
Day by day,How,,,SATB,TRUE,,,Cab 1 60,
Dear Lord and father,Parry,,,SATB,TRUE,,,Cab 2 5A,
Declare his honour,Purcell,,,SATB,TRUE,,,Shelf,CAB
Defend us O Lord,How,,,SATB,TRUE,,,Cab 1 58,
Deliver us O Lord,Batten,,,SATB,TRUE,,,Cab 1 64,
Deus miseratur,Schutz,,,SATB,TRUE,,,Cab 2 50,
Ding dong merrily,French,,Wood Charles,SATB,TRUE,,,Cab 2 C56,
Dixit maria,Hassler,Hans,,SATB,FALSE,,,Shelf,ESM
Dona nobis pacem,Anon,,,SATB,TRUE,,,Cab 1 76A,
Dostoino yest,Tchaikovsky,,,SATB,FALSE,,,Shelf,ESM
Drop drop slow tears,Walton,,,SATB,TRUE,,,Shelf,AWTEFC
Drop drop slow tears,Andrew,Keith,,V12(men),TRUE,,,Shelf,FA1
Easter alleluias,?,,,SATB,TRUE,,,Shelf,AWTEFC
Easter anthems,Scott,,,SATB,TRUE,Easter,,Shelf,AWTEFC
Easter eggs,Trad,,,SATB,FALSE,Easter,,Cab 1 7,
Eastern monarchs,Lang,,,SATB,TRUE,,,Shelf,FSB3
Ecce quomodo moritur justus,Handl,,,SATB,TRUE,,,Shelf,AWTEFC
Echo carol,Wilby,,,SATB,TRUE,Christmas,,Cab 1 C43,
"Eheu, sustulerant",Morley,,,SATB,TRUE,,,Shelf,AWTEFC
Enter not into judgement,Attwood,,,SATB,FALSE,,,Cab 2 80,
Eternal father who didst all create,Gholst,,,SATB,TRUE,,,Shelf,CAB
Evening hymn,Gardiner,Balfour,,SATB,TRUE,,,Cab 3 25,
Evening hymn of King Charles,Ley,,,SATB,TRUE,,,Cab 1 2A,
Evening service  (Mag and Nunc),Bullard,Alan,,V1(2),TRUE,,,Shelf,EFA
Evening service in C minor  (Mag and Nunc),Dyson,George,Alan Bullard,V1(2),TRUE,,,Shelf,EFA
Ex ore innocentium,Ireland,,,SATB,TRUE,,,Cab 2 133,
Expertans evpectavis,Wood,Charles,,SATB,TRUE,,,Cab 2 51,
Exsultate deo,Palestrina,,,SAATB,FALSE,,,Shelf,ESM
Exsultate justi,Viadana,Lodovico,,SATB,TRUE,,,Shelf,ESM
Faire is the heaven,Harris,William,,SATB,FALSE,,,Shelf,AC420th
Fairest Lord Jesu,Folk song,,How Martin,S(A)(Men),TRUE,,,Shelf,FA1
Fairest Lord Jesus,Silesean folk song,,Martin How,SATB,TRUE,,,Shelf,12EA
Fanfare for Christmas day,Shaw,Martin,,SATB,TRUE,Christmas,,Cab 1 C7,
Fantasia on Christmas carols,Vaughan Williams,,,SATB,TRUE,Christmas,,Cab 4 59,
Father we adore you,Coelino,Terry,,SATB,TRUE,,,Shelf,SWAMS
Father we love you,Adkins,Donna,,SATB,TRUE,,,Shelf,SWAMS
Father we thank thee,Bourgeois,Louis,,SATB,TRUE,,,Shelf,MFHC
"Father, we praise you",Bullard,Alan,,S(A)(T)(B),TRUE,,,Shelf,EFA
Fight the good fight,Long,,,SATB,TRUE,,,Shelf,AUPS1
Fill our hearts with joy and gladness,Quartel,Sarah,,S(A)(T)(B),TRUE,,,Shelf,EFA
Fill thou my life,Witchell,Peter J.,,SA,TRUE,,,Shelf,EAC2
Five Australian carols,?,,,SATB,TRUE,Christmas,,Shelf,
Folk mass,Shaw,Martin,,SATB,TRUE,,,Cab 4,
Folk songs of the four seasons,Vaughan Williams,,,SATB,TRUE,,,Shelf,
For All the Saints,Engelberg,,,SATB,TRUE,,,Shelf,SHSJ
For all thy saints,Eparaim,Mount,,SATB,TRUE,,,Cab 2 1A,
For I went with the multitude,Aston,Peter,,SATB,TRUE,,,Shelf,EAC1
For the beauty of the earth,Rutter,,,SATB,TRUE,,,Cab 1 114,
For the fallen,Guest,Douglas,,SATB,FALSE,,,Shelf,EAC1
For the fallen,Blatchly,Mark,,SSS,TRUE,,,Shelf,EAC2
Forth in thy name,Harris,,,SATB,TRUE,,,Shelf,TGOL
Four short anthems,Stanford,,,SATB,TRUE,,,Cab 2 2,
Freely freely,Owens,Carol,,SATB,TRUE,,,Shelf,SWAMS
From all that dwell,Walmisley,,,SATB,TRUE,,,Shelf,CAB
From all that dwell,Walmisley,,,SATB,TRUE,,,Shelf,CSB3
From all that dwell,Walmisley,,,SATB,TRUE,,,Cab 1 45,
From heaven you came,Kendrick,Graham,,SATB,TRUE,,,Shelf,SWAMS
From the rising of the sun,Ouseley,,,SATB,TRUE,,,Shelf,AFC1
From the rising of the sun,Ouseley,,,SATB,TRUE,,,Shelf,SB5
From the rising of the sun,Ouseley,,,SATB,TRUE,,,Cab 1 73,
Gabriel to Mary came,Anon,,Bullard Alan,S(A)(T)(B),TRUE,,,Shelf,FA1
Gabriels message,Basgue Noel,,Pettman Edgar,SATB,FALSE,Advent,,Cab 2 C81,
Gaudeamus,Jackson,Francis,,SATB,TRUE,,,Shelf,EAC1
